time,temperature_2m_max,temperature_2m_min,precipitation_sum,lokasi,Tahun
2017-10-11,29.9,25.6,6.1,Makassar,2017
2017-10-12,32.3,24.5,0.2,Makassar,2017
2017-10-13,32.7,23.5,0.0,Makassar,2017
2017-10-14,30.8,24.2,0.0,Makassar,2017
2017-10-15,29.7,25.7,17.5,Makassar,2017
2017-10-16,29.0,25.3,19.0,Makassar,2017
2017-10-17,28.9,24.4,11.9,Makassar,2017
2017-10-18,30.2,24.5,0.4,Makassar,2017
2017-10-19,30.5,25.6,0.3,Makassar,2017
2017-10-20,30.2,24.1,0.0,Makassar,2017
2017-10-21,29.6,24.2,0.9,Makassar,2017
2017-10-22,31.6,24.5,0.3,Makassar,2017
2017-10-23,30.0,24.9,0.9,Makassar,2017
2017-10-24,30.4,25.4,2.2,Makassar,2017
2017-10-25,29.9,24.9,0.0,Makassar,2017
2017-10-26,30.0,25.3,0.4,Makassar,2017
2017-10-27,31.8,24.9,0.0,Makassar,2017
2017-10-28,30.6,24.0,0.0,Makassar,2017
2017-10-29,30.4,24.8,0.9,Makassar,2017
2017-10-30,29.1,25.4,1.7,Makassar,2017
2017-10-31,30.2,24.9,4.3,Makassar,2017
2017-11-01,30.2,25.4,1.0,Makassar,2017
2017-11-02,29.3,25.3,3.4,Makassar,2017
2017-11-03,30.5,24.5,1.3,Makassar,2017
2017-11-04,30.5,24.8,7.7,Makassar,2017
2017-11-05,29.9,24.8,0.6,Makassar,2017
2017-11-06,30.4,25.0,1.1,Makassar,2017
2017-11-07,30.3,25.0,0.5,Makassar,2017
2017-11-08,30.4,24.5,0.1,Makassar,2017
2017-11-09,32.0,25.0,0.1,Makassar,2017
2017-11-10,30.6,25.5,0.9,Makassar,2017
2017-11-11,30.3,25.0,1.8,Makassar,2017
2017-11-12,30.4,25.2,7.7,Makassar,2017
2017-11-13,29.0,25.0,24.3,Makassar,2017
2017-11-14,29.6,24.8,9.5,Makassar,2017
2017-11-15,30.5,25.0,1.6,Makassar,2017
